Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Eastern Rwanda,Rwanda,911,Eastern Facility 1,Clinic,9,8,26,2809,19,"78,309",Yes,Yes,69,16.6,Rural
Eastern Rwanda,Rwanda,3958,Eastern Facility 2,Hospital,20,10,13,14996,12,"182,049",No,No,68.1,3.6,Rural
Southern Zambia,Zambia,3846,Southern Facility 3,Health Center,19,15,33,16732,10,"112,191",Yes,Yes,74,13.2,Rural
Eastern Nigeria,Nigeria,9059,Eastern Facility 4,Clinic,66,17,19,19377,58,"196,483",Yes,Yes,83.7,19.1,Urban
Western Kenya,Kenya,6420,Western Facility 5,Clinic,93,20,15,17500,7,"89,079",Yes,Yes,79.3,8.3,Urban
Dar es Salaam,Tanzania,9449,Dar Facility 6,Clinic,80,6,50,1134,25,"167,998",No,Yes,61.6,8.6,Urban
Eastern Nigeria,Nigeria,4683,Eastern Facility 7,Hospital,81,13,40,11160,8,"54,491",Yes,No,75.2,3.5,Rural
Dar es Salaam,Tanzania,9986,Dar Facility 8,Health Center,62,4,9,16672,22,"175,045",Yes,No,72.2,8.8,Urban
Western Uganda,Uganda,2546,Western Facility 9,Hospital,67,11,36,8141,12,"79,466",Yes,No,84.8,16.2,Rural
Eastern Ethiopia,Ethiopia,7225,Eastern Facility 10,Clinic,61,6,21,1203,32,"123,518",Yes,No,83.3,2.5,Urban
Southern Zambia,Zambia,2845,Southern Facility 11,Health Center,72,12,41,13322,19,"116,168",Yes,No,62.9,11.3,Rural
Eastern Ethiopia,Ethiopia,5198,Eastern Facility 12,Hospital,36,19,31,19170,28,"47,426",Yes,Yes,64.7,1.4,Urban
Eastern Nigeria,Nigeria,3465,Eastern Facility 13,Clinic,46,6,10,9953,32,"162,788",No,Yes,64.3,8.9,Rural
Dar es Salaam,Tanzania,2982,Dar Facility 14,Health Center,5,20,33,9070,5,"157,457",No,No,86.6,6,Rural
Eastern Rwanda,Rwanda,6489,Eastern Facility 15,Hospital,55,6,36,18249,5,"48,610",Yes,No,60.6,13.2,Urban
Central Malawi,Malawi,7746,Central Facility 16,Clinic,87,3,33,5173,50,"72,750",No,No,60.8,2.1,Urban
Central Malawi,Malawi,8516,Central Facility 17,Clinic,90,12,5,2539,37,"192,374",Yes,No,64.7,15.8,Urban
Western Uganda,Uganda,5465,Western Facility 20,Clinic,59,11,24,12957,33,"105,009",Yes,_,69.4,17.1,Urban
Central Senegal,Senegal,8818,Central Facility 21,Clinic,43,6,28,18029,39,"20,258",Yes,No,74.9,1.8,Urban
Central Senegal,Senegal,4172,Central Facility 22,Clinic,24,16,22,13836,10,"109,217",Yes,No,61,4.6,Rural
